id,from_id,date,text,post_id,owner_id,parents_stack,likes.can_like,likes.count,likes.user_likes,likes.can_publish,thread.count,thread.items,thread.can_post,thread.show_reply_button,attachments,deleted,thread.groups_can_post
11805918,448774202,1677679224,Есть видео как 🚴 ❓🤣,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,2,"[{'id': 11806025, 'from_id': 695636723, 'date': 1677680366, 'text': '[id448774202|اقرأ], конкретно этого момента нету 😄', 'post_id': 11805916, 'owner_id': -59780149, 'parents_stack': [11805918], 'likes': {'can_like': 1, 'count': 0, 'user_likes': 0, 'can_publish': 1}, 'reply_to_user': 448774202, 'reply_to_comment': 11805918}, {'id': 11806031, 'from_id': 448774202, 'date': 1677680551, 'text': '[id695636723|Ярослава], 🤣🤣🤣🤣', 'post_id': 11805916, 'owner_id': -59780149, 'parents_stack': [11805918], 'likes': {'can_like': 1, 'count': 0, 'user_likes': 0, 'can_publish': 1}, 'reply_to_user': 695636723, 'reply_to_comment': 11806025}]",True,True,,,
11805919,668770962,1677679232,,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0,[],True,True,"[{'type': 'sticker', 'sticker': {'sticker_id': 83919, 'product_id': 1782, 'images': [{'url': 'https://vk.com/sticker/1-83919-64', 'width': 64, 'height': 64}, {'url': 'https://vk.com/sticker/1-83919-128', 'width': 128, 'height': 128}, {'url': 'https://vk.com/sticker/1-83919-256', 'width': 256, 'height': 256}, {'url': 'https://vk.com/sticker/1-83919-352', 'width': 352, 'height': 352}, {'url': 'https://vk.com/sticker/1-83919-512', 'width': 512, 'height': 512}], 'images_with_background': [{'url': 'https://vk.com/sticker/1-83919-64b', 'width': 64, 'height': 64}, {'url': 'https://vk.com/sticker/1-83919-128b', 'width': 128, 'height': 128}, {'url': 'https://vk.com/sticker/1-83919-256b', 'width': 256, 'height': 256}, {'url': 'https://vk.com/sticker/1-83919-352b', 'width': 352, 'height': 352}, {'url': 'https://vk.com/sticker/1-83919-512b', 'width': 512, 'height': 512}], 'is_allowed': True}}]",,
11805929,485842338,1677679368,Чисто по аверьяновке на велосипеде,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,1,"[{'id': 11806027, 'from_id': 695636723, 'date': 1677680478, 'text': '[id485842338|Ramazan], на Речное через Южное', 'post_id': 11805916, 'owner_id': -59780149, 'parents_stack': [11805929], 'likes': {'can_like': 1, 'count': 0, 'user_likes': 0, 'can_publish': 1}, 'reply_to_user': 485842338, 'reply_to_comment': 11805929}]",True,True,,,
11805945,448774202,1677679442,А женский,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0,[],True,True,,,
11805948,59924813,1677679455,"Скоро умирать, а ещё не научилась кататься на велике...",11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0,[],True,True,,,
11805962,493494091,1677679578,"Варя, это очень забавно, когда учишься, начинай",11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0,[],True,True,,,
11805967,493494091,1677679604,Стопицот раз падаешь,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0,[],True,True,,,
11805972,512849073,1677679623,,11805916.0,-59780149.0,[],1.0,0.0,0.0,1.0,3,"[{'id': 11805981, 'from_id': 444845765, 'date': 1677679659, 'text': '[id512849073|Руслан], шоз книга?', 'post_id': 11805916, 'owner_id': -59780149, 'parents_stack': [11805972], 'likes': {'can_like': 1, 'count': 1, 'user_likes': 0, 'can_publish': 1}, 'reply_to_user': 512849073, 'reply_to_comment': 11805972}, {'id': 11806037, 'from_id': 512849073, 'date': 1677680894, 'text': '[id444845765|Твоя],', 'post_id': 11805916, 'owner_id': -59780149, 'parents_stack': [11805972], 'attachments': [{'type': 'photo', 'photo': {'album_id': -8, 'date': 1677680893, 'id': 457968652, 'owner_id': -59780149, 'access_key': '89c4a381e854b551dc', 'sizes': [{'height': 75, 'type': 's', 'width': 56, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=56x75&quality=95&sign=052571e017f778de9e84131edf5c656d&c_uniq_tag=tdWXWVkUw9KvFgU0CJX9aOPBAjCnKjNpqeuPk1v-IDA&type=album'}, {'height': 130, 'type': 'm', 'width': 97, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=97x130&quality=95&sign=ffde782c8c8fcc5e92058c7d2a668ce3&c_uniq_tag=9liHFnDBF5xYzMOeBh8o2Nr4I2yRWIR22MK0SlMrZKo&type=album'}, {'height': 604, 'type': 'x', 'width': 453, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=453x604&quality=95&sign=9c6b9155fb6c3f7d6f74843d8550a221&c_uniq_tag=oaamgo8RwWYwV0vMdpyqClsTK0YBOhEntJgvxo8ZFfQ&type=album'}, {'height': 807, 'type': 'y', 'width': 605, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=605x807&quality=95&sign=b18a0bee61e7cec84f3ff3cff15e8b06&c_uniq_tag=A80ULusysGLGq5fEOfILmVCZZo5lk7rASnssUhFBO5c&type=album'}, {'height': 1080, 'type': 'z', 'width': 810, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=810x1080&quality=95&sign=4b4628f4110dd1c83b6a4695ae4ff731&c_uniq_tag=5ZR2ZC2Pt8Vk8ptv9TCQA4dsmR2RgwS1Dk6Gi0TUiQA&type=album'}, {'height': 2160, 'type': 'w', 'width': 1620, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=1620x2160&quality=95&sign=64385012ac543461a2bf7623f307dedb&c_uniq_tag=hN9T8j4CcKqSOK-d7tS2y7LN5pCdYBxmXWvuMTBCMkM&type=album'}, {'height': 173, 'type': 'o', 'width': 130, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=130x173&quality=95&sign=27313f466060f8766ec03b06425ffe8e&c_uniq_tag=5IJAxIoQ8uzMoaEwTrBiY0T3Cd6ceXHvpIj7610t8Ro&type=album'}, {'height': 267, 'type': 'p', 'width': 200, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=200x267&quality=95&sign=4e34b1cf3f5e8d61a603fefdfe441e0b&c_uniq_tag=kQFIhBqvrOd3YT0faXkPiAWbP8PIust2XOkZP3S0cK4&type=album'}, {'height': 427, 'type': 'q', 'width': 320, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=320x427&quality=95&sign=f7a60deef7772209c13749cccb03874f&c_uniq_tag=geJX6iFfOOmsdSlDq8-IOlOYRuXrsinpBqjrfc9RAvE&type=album'}, {'height': 680, 'type': 'r', 'width': 510, 'url': 'https://sun9-67.userapi.com/impg/pGiYnyaV2I63eLI-paBQM9xi71CP5V7zz2gsKg/NbOPjsyXvCg.jpg?size=510x680&quality=95&sign=c9349359e33fd94ff03ac27ff52bb327&c_uniq_tag=LJY486Dpd1j6RhciNVrdW9opho66xkvvWaso317uP3A&type=album'}], 'text': '', 'user_id': 512849073, 'has_tags': False}}], 'likes': {'can_like': 1, 'count': 0, 'user_likes': 0, 'can_publish': 1}, 'reply_to_user': 444845765, 'reply_to_comment': 11805981}, {'id': 11806071, 'from_id': 444845765, 'date': 1677682837, 'text': '[id512849073|Руслан], о класс\nЛюбимый перелёт \nСпасибо', 'post_id': 11805916, 'owner_id': -59780149, 'parents_stack': [11805972], 'likes': {'can_like': 1, 'count': 1, 'user_likes': 0, 'can_publish': 1}, 'reply_to_user': 512849073, 'reply_to_comment': 11806037}]",True,True,"[{'type': 'photo', 'photo': {'album_id': -8, 'date': 1677679623, 'id': 457968651, 'owner_id': -59780149, 'access_key': 'dd8712e1878ee3aeac', 'sizes': [{'height': 75, 'type': 's', 'width': 56, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=56x75&quality=95&sign=286f99df25d3de566b43f8fd7a923b7c&c_uniq_tag=xRK7fGCytpqFjzjonGb4J-lWoTos4mcYAUA1eXrvJgs&type=album'}, {'height': 130, 'type': 'm', 'width': 97, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=97x130&quality=95&sign=2ac0060b362e97fb2b09ec3f6142345d&c_uniq_tag=ZrdYd5BXLUOA3aVc718FSZMDurYL1VEm5q9Xw3W04AE&type=album'}, {'height': 604, 'type': 'x', 'width': 453, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=453x604&quality=95&sign=429b144e8762061a80a9795503912863&c_uniq_tag=LBfcZt1zZGJjpX3M4nEWkUhzoGYX2oEN_Sc-XcC9gt8&type=album'}, {'height': 807, 'type': 'y', 'width': 605, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=605x807&quality=95&sign=d38ffc45005e43b60742716663dc931c&c_uniq_tag=jVlwRJsF0tVJso7A2a6FF7EXNREaddMaWSxMkYa1BK4&type=album'}, {'height': 1080, 'type': 'z', 'width': 810, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=810x1080&quality=95&sign=e80941aa8fdb1bf8b65c89b7264eab8d&c_uniq_tag=le1wUOBymzKR-z2Sx82xVRAEY80QzuhdD0YexuRfQZM&type=album'}, {'height': 2160, 'type': 'w', 'width': 1620, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=1620x2160&quality=95&sign=dfe3dfd32ec1637d728b8660f38697aa&c_uniq_tag=Y1lBBsBD8cpaOwn_GgVQ3gWyCDs8fp9IvSA-WhZ_cG8&type=album'}, {'height': 173, 'type': 'o', 'width': 130, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=130x173&quality=95&sign=155b80fd983483525d717a3d27645a94&c_uniq_tag=SieOoJnECn_bIlopI3GVsUQCLCVJqYyu9bYpN0rZoJg&type=album'}, {'height': 267, 'type': 'p', 'width': 200, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=200x267&quality=95&sign=b18a1a5b1e7b70ed54051842c87dc33d&c_uniq_tag=WOlK56dzOVG70GZzlvTectnyUKD4s_8bIyZFkKhVDfQ&type=album'}, {'height': 427, 'type': 'q', 'width': 320, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=320x427&quality=95&sign=6f04d246b4027f26f742915ab234fb33&c_uniq_tag=ZkVJtuXczTkcok7wG5sL-_pLuo32YWMRr9Om730WPzI&type=album'}, {'height': 680, 'type': 'r', 'width': 510, 'url': 'https://sun9-63.userapi.com/impg/Zm0EXi7ensRB6ST5BhzuQ_VKDtOedMfKJSwC8Q/AJz2WVGMeU8.jpg?size=510x680&quality=95&sign=eab74276f64e741ce64035c7326786f1&c_uniq_tag=jn09i6jx5_wApnCb0xbu4lwehXdqq4q67O7fNbCEcSU&type=album'}], 'text': '', 'user_id': 512849073, 'has_tags': False}}]",,
11805979,781634109,1677679651,"Я тоже всегда хотела гонять на велике, может ещё не поздно, чисто на работу 🚴‍♀️",11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0,[],True,True,,,
11805980,59924813,1677679654,Да вы врёте...,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0,[],True,True,,,
